[2400, 0, 0, 2400, 380, 238]
[0, 2400, 2400, 0, -2400, -2400]
[0, 2400, -2400, -2400, 119, 254]
[-2400, -2400, 2400, 0, 380, 238]
[119, 254, 203, 255, 234, 354]
[203, 255, 119, 254, 157, 237]
[0, 2400, 119, 254, 234, 354]
[119, 254, -2400, -2400, 157, 237]
[157, 237, 380, 238, 309, 253]
[380, 238, 157, 237, -2400, -2400]
[234, 354, 203, 255, 250, 282]
[203, 255, 157, 237, 309, 253]
[234, 354, 380, 238, 0, 2400]
[380, 238, 234, 354, 309, 253]
[250, 282, 203, 255, 309, 253]
[309, 253, 234, 354, 250, 282]
